Date,AAPL,GOOGL,MSFT,AMZN,FB,,,,,,,,,,
12/31/2018,157.7400055,1044.959961,101.5699997,1501.969971,131.0899963,,,,,,,,,,
1/2/2019,157.9199982,1054.680054,101.1200027,1539.130005,135.6799927,0.179992676,9.720092773,-0.449996948,37.16003418,4.589996338,,FALSE,,150,184
1/3/2019,142.1900024,1025.469971,97.40000153,1500.280029,131.7400055,-15.72999573,-29.21008301,-3.720001221,-38.84997559,-3.939987183,,TRUE,,,
1/4/2019,148.2599945,1078.069946,101.9300003,1575.390015,137.9499969,6.069992065,52.59997559,4.529998779,75.10998535,6.209991455,,TRUE,,,
1/7/2019,147.9299927,1075.920044,102.0599976,1629.51001,138.0500031,-0.330001831,-2.149902344,0.129997253,54.11999512,0.100006104,,FALSE,,,
1/8/2019,150.75,1085.369995,102.8000031,1656.579956,142.5299988,2.820007324,9.449951172,0.740005493,27.06994629,4.479995728,,TRUE,,,
1/9/2019,153.3099976,1081.650024,104.2699966,1659.420044,144.2299957,2.559997559,-3.719970703,1.469993591,2.840087891,1.699996948,,FALSE,,,
1/10/2019,153.8000031,1078.829956,103.5999985,1656.219971,144.1999969,0.490005493,-2.820068359,-0.669998169,-3.200073242,-0.029998779,,FALSE,,,
1/11/2019,152.2899933,1064.469971,102.8000031,1640.560059,143.8000031,-1.510009766,-14.35998535,-0.799995422,-15.65991211,-0.399993896,,TRUE,,,
1/14/2019,150,1051.51001,102.0500031,1617.209961,145.3899994,-2.289993286,-12.95996094,-0.75,-23.35009766,1.589996338,,FALSE,,,
1/15/2019,153.0700073,1086.51001,105.0100021,1674.560059,148.9499969,3.070007324,35,2.959999084,57.35009766,3.559997559,,TRUE,,,
1/16/2019,154.9400024,1089.51001,105.3799973,1683.780029,147.5399933,1.869995117,3,0.369995117,9.219970703,-1.410003662,,FALSE,,,
1/17/2019,155.8600006,1099.119995,106.1200027,1693.219971,148.3000031,0.919998169,9.609985352,0.740005493,9.439941406,0.760009766,,TRUE,,,
1/18/2019,156.8200073,1107.300049,107.7099991,1696.199951,150.0399933,0.960006714,8.180053711,1.589996338,2.979980469,1.739990234,,TRUE,,,
1/22/2019,153.3000031,1078.630005,105.6800003,1632.170044,147.5700073,-3.520004272,-28.67004395,-2.029998779,-64.02990723,-2.469985962,,TRUE,,,
1/23/2019,153.9199982,1084.410034,106.7099991,1640.02002,144.3000031,0.619995117,5.780029297,1.029998779,7.849975586,-3.270004272,,FALSE,,,
1/24/2019,152.6999969,1084,106.1999969,1654.930054,145.8300018,-1.220001221,-0.41003418,-0.510002136,14.91003418,1.529998779,,FALSE,,,
1/25/2019,157.7599945,1101.51001,107.1699982,1670.569946,149.0099945,5.059997559,17.51000977,0.970001221,15.63989258,3.179992676,,TRUE,,,
1/28/2019,156.3000031,1079.859985,105.0800018,1637.890015,147.4700012,-1.459991455,-21.65002441,-2.089996338,-32.67993164,-1.539993286,,TRUE,,,
1/29/2019,154.6799927,1070.060059,102.9400024,1593.880005,144.1900024,-1.620010376,-9.799926758,-2.13999939,-44.01000977,-3.279998779,,TRUE,,,
1/30/2019,165.25,1097.98999,106.3799973,1670.430054,150.4199982,10.57000732,27.92993164,3.439994812,76.55004883,6.229995728,,TRUE,,,
1/31/2019,166.4400024,1125.890015,104.4300003,1718.72998,166.6900024,1.190002441,27.90002441,-1.949996948,48.29992676,16.27000427,,FALSE,,,
2/1/2019,166.5200043,1118.619995,102.7799988,1626.22998,165.7100067,0.080001831,-7.270019531,-1.650001526,-92.5,-0.979995728,,FALSE,,,
2/4/2019,171.25,1141.420044,105.7399979,1633.310059,169.25,4.729995728,22.80004883,2.959999084,7.080078125,3.539993286,,TRUE,,,
2/5/2019,174.1799927,1151.869995,107.2200012,1658.810059,171.1600037,2.929992676,10.44995117,1.480003357,25.5,1.910003662,,TRUE,,,
2/6/2019,174.2400055,1122.890015,106.0299988,1640.26001,170.4900055,0.060012817,-28.97998047,-1.190002441,-18.55004883,-0.669998169,,FALSE,,,
2/7/2019,170.9400024,1105.910034,105.2699966,1614.369995,166.3800049,-3.300003052,-16.97998047,-0.760002136,-25.89001465,-4.11000061,,TRUE,,,
2/8/2019,170.4100037,1102.380005,105.6699982,1588.219971,167.3300018,-0.529998779,-3.530029297,0.400001526,-26.15002441,0.949996948,,FALSE,,,
2/11/2019,169.4299927,1102.119995,105.25,1591,165.7899933,-0.980010986,-0.260009766,-0.419998169,2.780029297,-1.540008545,,FALSE,,,
2/12/2019,170.8899994,1127.579956,106.8899994,1638.01001,165.0399933,1.460006714,25.45996094,1.63999939,47.01000977,-0.75,,FALSE,,,
